Neighborhood,Safety_Index_100
Squirrel Hill North,59.97833639833331
Swisshelm Park,59.86050322001408
New Homestead,59.78712790089695
Ridgemont,59.64296307248608
Stanton Heights,59.25829980732927
Duquesne Heights,58.82129297082807
Morningside,58.739669753262575
Westwood,58.657797389375716
Lincoln Place,58.338335850491774
Chartiers,58.331355158609945
North Oakland,58.303511145316506
Summer Hill,58.29362562234322
Banksville,58.17814354844571
Squirrel Hill South,58.12392866712689
Greenfield,57.98429809279749
Oakwood,57.70615538632899
Brookline,57.43506130233388
Regent Square,57.38383888543346
Highland Park,57.2445367165279
Fairywood,56.92215737018945
Overbrook,56.89086472721325
Lincoln-Lemington-Belmar,56.78852043703452
Beechview,56.72974652180662
West Oakland,56.676338720453195
Point Breeze,56.62217324902463
Brighton Heights,56.4965732154228
Windgap,56.48702851706481
Perry North,56.1633163721066
Upper Lawrenceville,56.043300626310355
Lower Lawrenceville,55.72922554290235
Central Lawrenceville,55.625909110127196
Polish Hill,55.40790379742183
Bluff,55.272488308857376
Friendship,55.02808655211229
Crafton Heights,54.934712121077936
Mount Washington,54.92084831190665
Saint Clair,54.720849767270586
South Oakland,54.717407159003955
Arlington,54.60147015352469
East Carnegie,54.586638877682525
Central Oakland,54.485404935224686
South Side Slopes,54.45168694968219
Shadyside,54.17596058817525
Upper Hill,53.97173056598175
Garfield,53.12824772827781
Allegheny West,52.82138746855807
Bloomfield,52.7567692438297
Troy Hill,52.66598585247918
Bon Air,52.442728126301425
Manchester,52.41789887285192
Spring Garden,52.322321955215585
Fineview,52.071878969624755
Perry South,51.43909942923593
Spring Hillâ€“City View,51.20066613148417
Elliott,51.16461109568279
Carrick,51.09839198340087
Central Northside,50.534047647498554
Hays,50.449960408211716
Beltzhoover,50.442832187398864
Allegheny Center,50.42924098897195
Northview Heights,50.274988289837125
Esplen,50.21408397629189
Marshall-Shadeland,50.112666852086605
Sheraden,50.066923546687335
Point Breeze North,49.79553994863951
Glen Hazel,49.55147699359387
Terrace Village,49.19007459319121
Hazelwood,49.03077964065842
Mount Oliver,48.66725237858467
East Hills,48.25602263449997
Strip District,46.585177618785885
East Liberty,45.65502258781643
Homewood North,45.62190621503067
Knoxville,43.97114788615839
Crawford-Roberts,43.514680739306286
Middle Hill,43.431628604431374
Homewood South,42.47313527099671
Larimer,41.46530834504641
South Side Flats,41.34496118492582
Homewood West,40.92190525503442
Bedford Dwellings,40.7622204717004
Allentown,36.596693779116734
East Allegheny,35.15815072944825
California-Kirkbride,29.098516081881534
West End,19.256369391050068
Central Business District,15.805406118654211
North Shore,0.0
